Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
"Sari Bunga Segar Bugar, Serbuk",-,"PJ. Sari Bunga, Cilacap",Parasetamol
"Sari Jagad Manjur Asam Urat, kapsul",-,"PJ. Sari Bumi, Jakarta",Parasetamol
"Sehat Sentosa Gemuk Sehat, Serbuk",-,"PJ. Sehat Sempurna, Cilacap",Parasetamol
Serbuk Asrema,-,"PJ. Maju Jaya, Cilacap",Parasetamol
Serbuk Halus Asam Urat,-,"PJ. Asuh Raga, Cilacap",Parasetamol
Serbuk Segar Asam,-,"PJ. Kurnia Alam, Cilacap",Parasetamol
"Super Abad 21 Asam Urat Flu Tulang (Walet), serbuk",-,"PJ. Jasa Sejati, Cilacap",Parasetamol
"Sari Jagad Manjur Rheumatik, kapsul",-,"PJ. Sari Sejahtera, Bogor",Prednison
"Langsing Ayu Sing Ayu, kapsul",TR. 053353501,"PJ. Madura Sakti, Semarang",Sibutramin Hidroklorida
"Sela, kapsul",-,PT. Hemacare,Sibutramin Hidroklorida
"Ajib, Kapsul",-,"PJ. Garda Kanoman, Solo",Sildenafil Sitrat
Caligula Kapsul,TR. 053350501,"PJ. Air Madu, Magelang",Sildenafil Sitrat
Cobra X Kapsul,TR. 993 205 621,"PJ. Ragil Sentosa, Cilacap",Sildenafil Sitrat
Hwang Di Shen Dan,TI. 054318931,"Ruifeng Pharmaceutical, Co. Ltd",Sildenafil Sitrat
Kuat Tahan Lama Serbuk,Depkes. TR.147/11-10/2005,"PD. Jamu Moro Sehat, Banjar Negara",Sildenafil Sitrat
Lak Gao 69,TR. 053349861,"PJ. Jaya Sakti Mandiri, Semarang",Sildenafil Sitrat
Lavaria,TR. 063358221,"PT. Rama Farma, Jakarta",Sildenafil Sitrat
Maca Gold,TI. 074324341,"PT. Paramitra Media Perkasa, Jakarta",Sildenafil Sitrat
Okura,TR. 073 371 721,"PT. Herbalindo Sukses Makmur, Tangerang",Sildenafil Sitrat
Otot Madu,TR. 063358181,"PT. Rama Farma, Jakarta",Sildenafil Sitrat
"Bima Kudra, Tablet",-,PJ. Bima Putra,Sildenafil Sitrat
Rama Stamin,TR. 063361071,"PT. Rama Farma, Jakarta",Sildenafil Sitrat
Sari Madu Kapsul,TR. 043103235,PJ. Sari Madu Murni,Sildenafil Sitrat
Sunny Zang Wang Xiong Ying Dan Pil,TI. 034406731,Tibet Yuthog Healthy Product.Co.Ltd,Sildenafil Sitrat
Sunny Zang Wang Xiong Ying Kapsul,TI. 034306751,Tibet Yuthog Healthy Product.Co.Ltd,Sildenafil Sitrat
Teraza,TR. 063361081,"PT. Rama Farma, Jakarta",Sildenafil Sitrat
Top One Kapsul,TR. 043100644,"PJ. Paladipa, Solo",Sildenafil Sitrat
Golden Herbal capsules,TI. 054316541,"Beijing Kowloon Pharmaceutical Factory Beijing, China",Sildenafil Sitrat
Urat Perkasa Kapsul,TR. 001508741,"PJ. SM Jaya, Cilacap",Sildenafil Sitrat
"Kamasutra, Kapsul",-,"PT. Putra Jawa, Surabaya",Sildenafil Sitrat
"Obat Kuat dan Tahan Lama Bulan Madu, kapsul",-,"PJ. Air Madu, Magelang",Sildenafil Sitrat
Obat Kuat dan Tahan Lama Ratu Madu Plus,-,"PJ. Ratu Lebah, Jakarta",Sildenafil Sitrat
"Pria Dewasa Ocema, Kapsul",TR. 053348331,"PJ. Sumber Makmur Mandiri, Semarang",Sildenafil Sitrat
"Zestos, kapsul",TR. 043338931,"PT. Tifar Admanco, Jakarta",Sildenafil sitrat
Stanson,TI. 074325091,"TY Healthcare Product, C. Ltd","Sildenafil Sitrat, Tadalafil"
Ganoderma Capsule,-,Hangzhou Chinese Drug Factory,Siproheptadin
Neo Gemuk Sehat Merk F. Munir,"TR. 993202281, TR. 993202282, TR. 993202283","PJ. F. Munir, Tangerang",Siproheptadin
Blue Moon,TR. 072367741,"PT. Pacific Healthcare Indonesia, Jakarta",Tadalafil
Manovel,SI. 054520691,"Yunnan Pharmaceutical Industrial Co., Ltd. Kunming Zhenhua Pharma. Factory",Tadalafil
Sanomale,SD. 051 322 251,"PT. Pyridam Farma, Cianjur",Tadalafil
Tripoten,SD. 031307461,"PT. Dexa Medica, Palembang",Tadalafil
Zu-Mex,TR. 063356511,"CV. Mega Maju Mekar, Jakarta",Tadalafil
"Cakra Sehat Sesak Nafas, serbuk",-,"Kopja Aneka Sari, Cilacap",Teofilin
"Sesak Nafas, Serbuk",-,"PJ. Surya Sehat, Cilacap",Teofilin
Chuifong Toukuwan Pil,-,"PT. Nanlien Utama Pharmindo, Tangerang",Asam Mefenamat
"Akar Baru Cina, Tablet",-,"PJ. Bayu Segaratama, Jateng",Fenilbutason
"Asam Urat Flu Tulang Cakra Wijaya, serbuk",-,"Kopja Sabuk Kuning, Banyumas",Fenilbutason
"Jasa Agung 2, Serbuk",-,"PJ. Jasa Agung, Cilacap",Fenilbutason
Jawa Dwipa cap Daun Sambiroto Cairan Obat Dalam,-,"UD. Sambiroto, Banyuwangi",Fenilbutason
Pacegin Kapsul Alami,TR. 043336341,"PJ. Akar Pinang, Kuningan",Fenilbutason
"Ramuan Manjur Pas Flu Tulang, serbuk",-,"PJ. Silanba Jaya, Cilacap",Fenilbutason
"Ramuan Shin She, Kapsul",-,"PJ. Alam Tiongkok, Cilacap",Fenilbutason
"Runrat (Asam Urat), Tablet",TR. 001507961,"PJ. Serbuk Manjur Jaya, Cilacap",Fenilbutason
"Sinar Manjur SMR, Serbuk",-,"PJ. Candi Guna Jaya, Cilacap",Fenilbutason
"Sumber Sehat Ambeien Sehat, serbuk",-,"PJ. Sumber Sehat, Cilacap",Fenilbutason
"Sumber Sehat Perempuan, Serbuk",-,"PJ. Sumber Sehat, Cilacap",Fenilbutason
"Asam Urat Untuk Pria dan Wanita, serbuk",-,"PJ. Jaya Mandiri, Cilacap","Fenilbutason, Metampiron"
"Asam Urat Urcid, kapsul",-,"PJ. Surya Sehat, Cilacap","Fenilbutason, Metampiron"
"Asrat Walisongo, serbuk",-,"PJ. Walisongo, Cilacap","Fenilbutason, Metampiron"
"Amargo Jaya Gemuk Sehat, serbuk",-,"PJ. Mujur Jaya, Cilacap","Fenilbutason, Parasetamol"
"Armatik, serbuk",-,"PJ. Delapan Dewa, Cilacap","Fenilbutason, Parasetamol"
"Asam Urat Flu Tulang, serbuk",-,"CV. Mahkota Dewa Ferbindo, Jakarta","Fenilbutason, Parasetamol"
"Asam Urat Sari Pusaka, serbuk",-,"PJ. Sari Pusaka Jaya, Cilacap","Fenilbutason, Parasetamol"
"Buah Mujarab, kapsul",-,"PJ. SM Jaya, Cilacap","Fenilbutason, Parasetamol"
"Cikung Makasar Super, serbuk",-,"PJ. Racikan Makasar, Cilacap","Fenilbutason, Parasetamol"
"Cikung Papua, tablet",-,"PJ. Alam Papua, Cilacap","Fenilbutason, Parasetamol"
"Dewa Manjur 99 Sehat Stamina, serbuk",-,"PJ. Dewa Mega Jaya, Banyumas","Fenilbutason, Parasetamol"
Jaya Asli E 5 Lemah Syahwat Khusus Lelaki,-,"PJ. Jaya Asli, Cilacap","Fenilbutason, Parasetamol"
"Neo Pusaka Mujarab, serbuk",-,"PJ. Pusaka Mujarab, Cilacap","Fenilbutason, Parasetamol"
"Pa Pat Kwa, serbuk",-,"PJ. Sinar Patkwa, Jateng","Fenilbutason, Parasetamol"
"Pegal Linu Guna Sehat, serbuk",-,"PJ. Guna Sehat, Cilacap","Fenilbutason, Parasetamol"
"Ramuan Tradisional Jawa Tiongkok Rheumatik Asam Urat Cap Kembang Dewa Ndaru, serbuk",-,"PJ. Pratama Sehat Perkasa, Jakarta","Fenilbutason, Parasetamol"
"Rema, serbuk",-,"PJ. Guci Mas Abadi, Cilacap","Fenilbutason, Parasetamol"
"Tradisional Jaya Asli Asam Urat, serbuk",-,"PJ. Jaya Asli, Cilacap","Fenilbutason, Parasetamol"
"Asam Urat Flu Tulang cap Kijang Kencana, serbuk",-,"PJ. Sehat Segar Supra, Cilacap",Metampiron
"Asmur Flu Tulang, serbuk",-,"PJ. Serbuk Sari, Cilacap",Metampiron
"Giat Sehat 2, serbuk",-,"PJ. Jampi Jaya, Cilacap",Metampiron
"Kesehatan/Penyembuhan Ronda Mas Jenis A, serbuk",-,"CV. Wijaya Makmur Abadi, Jakarta",Metampiron
"Pegal Linu Sari Walet, serbuk",-,PJ. Sari Walet,Metampiron
"Pegal Linu, serbuk",TR. 993299781,"PJ. Sehat Perkasa, Cilacap",Metampiron
"Ramuan Sehat Jawa Tiongkok, serbuk",-,"PT. Jati Sukses Indonesia, Jakarta",Metampiron
"Sari Mengkudu Asam Urat, serbuk",-,"Sari Mengkudu, Jateng",Metampiron
"Sembur Angin, serbuk",-,"PJ. Abas Jaya, Cilacap",Metampiron
"Sepas (Asma/Batuk) Beijing Brand, serbuk",-,"PT. Langgeng Jaya, Surabaya",Metampiron
"Serba Prima Pegal Linu, serbuk",-,PJ. Rimba Laut,Metampiron
"Asam Urat Flu Tulang Lebah Liar, serbuk",-,"PJ. Sari Pusaka Jaya, Cilacap",Parasetamol
"Asam Urat Citra Madura, kapsul",-,"PT. Citra Fajar Sehat, Surabaya",Parasetamol
"Asam Urat Flu Tulang 9 Dewa, serbuk",-,"PJ. Unta Mas, Cilacap",Parasetamol
"Asam Urat Flu Tulang Pengapuran, tablet",-,"PJ. Bayu Segara Utama, Jateng",Parasetamol
"Berkah Sehat, serbuk",-,"Kopja Aneka Sari, Cilacap",Parasetamol
"Bunga Sari, serbuk",-,"PJ. Bunga Sari, Cilacap",Parasetamol
"Flu Tulang Laba Laba, serbuk",-,"PJ. Dewa Sakti Kalimantan, Banyumas",Parasetamol
"Flu Tulang Lumbung Sewu, serbuk",-,"PJ. Lumbung Jaya, Indonesia",Parasetamol
"Flu Tulang, tablet",-,"PJ. Dwi Jaya, Jateng",Parasetamol
"Gemuk Badan Mahkota Dewa, serbuk",-,"CV. Mahkota Dewa Ferbindo, Jakarta",Parasetamol
"Masuk Angin Flu Sakit Gigi, serbuk",-,"CV. Mahkota Dewa Ferbindo, Jakarta",Parasetamol
"Obat Pegal Linu, Sakit Gigi, tablet",-,"PJ. Alam Makasar, Cilacap",Parasetamol
"Obat Pegel Linu, Ngilu Tulang, serbuk",-,"PJ. Racikan Makasar, Cilacap",Parasetamol
"Pegal Linu Akar Mujarab, serbuk",-,"PJ. Akar Srongsong Mekar / PJ. Akar Mujarab, Cilacap",Parasetamol
"Pegal Linu Encok Rematik, serbuk",-,"CV. Mahkota Dewa Ferbindo, Jakarta",Parasetamol
"Pegal Linu Langgeng Sentosa, serbuk",-,"PJ. Langgeng Semangat, Cilacap",Parasetamol
"Pegal Linu SP, serbuk",-,"PJ. Segar Prima, Cilacap",Parasetamol
"Raga Sakti Asam Urat, serbuk",-,"PJ. Gading Kencana, Cilacap",Parasetamol
"Ramuan Tiongkok (Asam Urat, Flu Tulang, Rematik, Sakit Gigi), serbuk",-,"PJ. Ramuan Tiongkok, Cilacap",Parasetamol
"Sehat Stamina, serbuk",-,"PJ. Dewa Mega Jaya, Banyumas",Parasetamol
"Instant Kuat Khusus Pria, serbuk",-,"PJ. Akar Mukjizat, Kudus",Piroksikam
"Langsing Alami, kapsul",-,"PT. Hema Care, Indonesia",Sibutramin Hidroklorida
"Slimming untuk Pria dan Wanita, kapsul",-,"PT. Hema Care, Indonesia",Sibutramin Hidroklorida
"Astirex, kapsul",-,PJ. Sinar Makmur,Sildenafil Sitrat
"G Bucks, kapsul",TI. 054316531,"Beijing Kawloon Pharmaceutical Factory,China",Sildenafil Sitrat
"Hot Pens, kapsul",-,"PJ. Berkah Jaya, Surabaya",Sildenafil sitrat
"Lion Gold APA, kapsul",-,"Kopja Sabuk Kuning, Banyumas",Sildenafil Sitrat
"Neo Tasama, kapsul",-,"Kopja Sabuk Kuning, Banyumas",Sildenafil Sitrat
"Obat Kuat dan Tahan Lama Khusus untuk Pria Dewasa, tablet",-,PJ. Singa Laut,Sildenafil Sitrat
"Raja Kuat, kapsul",-,"CV. Nutrifarm Healthindo, Surabaya",Sildenafil Sitrat
"Tanduk Rusa Kuat Lelaki, kapsul",-,"PJ. Multi Sari Manjur, Banjarmasin",Sildenafil Sitrat
"Urat Madu, kapsul",-,"PJ. Air Madu, Malang",Sildenafil sitrat
"Xing Shi Jiu, Cairan Obat Dalam",TI. 034608051,Shandong Yasheng Biotech. Co. Ltd. China,Sildenafil Sitrat
"Campur Sari, serbuk",-,PJ. Sugi Aladin,Teofilin
"Jasa Temu 7, serbuk",-,"PJ. Jasa Agung, Cilacap",Teofilin
"Asam Urat & Flu Tulang Samlin, serbuk",-,"Kopja Sabuk Kuning, Banyumas",Allupurinol
"Amargo Jaya Ramuan Madura, serbuk",-,"PJ. Mujur Jaya, Cilacap",CTM
"Pusaka Pil Gatal, tablet",-,"PJ. Bintang Dua, Cilacap",CTM
"Gemuk Sehat, serbuk",-,"PJ. Bunga Sari, Cilacap","Deksametason, Fenilbutason"
"Antanan, kapsul",-,PJ. Tiara Cipta Usaha,"Deksametason, Fenilbutason, Parasetamol"
"Antik, kaplet",-,"PJ. Serbuk Manjur Jaya, Cilacap",Fenilbutason
"Asam Urat Cap Unta, serbuk",-,"PJ. Unta Mas, Cilacap",Fenilbutason
"Asam Urat Flu Tulang Saiful Jaya, serbuk",-,"PJ. Dua Putra Bersaudara, Cilacap",Fenilbutason
"Asam Urat Flu Tulang, kapsul",-,"Kopja Sabuk Kuning, Banyumas",Fenilbutason
"Asam Urat Pegal Linu Gholin, kapsul",-,"PJ. Gholin Jaya Indonesia, Cilacap",Fenilbutason
"Asam Urat Untuk Pria dan Wanita, serbuk",-,"PJ. Mutia Sehat, Cilacap",Fenilbutason
"Asam Urat, serbuk",-,"PJ. Delapan Dewa, Cilacap",Fenilbutason
"Asmur (Mahkota Dewa Plus Ginseng), serbuk",TR. 033228621,"PJ. Serbuk Sari, Cilacap",Fenilbutason
"Daun Dewa, serbuk",-,"PJ. Daun Dewa Alami, Cilacap",Fenilbutason
"Eksim, cairan obat dalam",-,"PJ. Jawa Asli Cap Widoro Putih, Banyuwangi",Fenilbutason
"Extra Fit, serbuk",-,"PJ. Kurnia, Jateng",Fenilbutason
"Jassegar 151, serbuk",TR. 993203361,"PJ. Payung Raga 151, Cilacap",Fenilbutason
"Manjur Gemuk Sehat, serbuk",-,"PJ. Serbuk Manjur, Cilacap",Fenilbutason
"Multiguna No. 2 Asam Urat, serbuk",-,"PJ. Segar Alam, Cilacap",Fenilbutason
"Obat Kuat Viagra, serbuk",-,"PJ. Jaya Dipa, Cilacap",Fenilbutason
"Pegal Linu, serbuk",TR 993299431,"PJ. Serbuk Berkhasiat, Cilacap",Fenilbutason
"Pegel Linu Cap Widoro Putih, cairan obat dalam",-,"PJ. Duta Prima, Banyuwangi",Fenilbutason
"Primadona Pegal Linu, serbuk",-,"PJ. Primadona, Cilacap",Fenilbutason
"Prono Jiwo, cairan obat dalam",-,"CV. Prono Jiwo, Banyuwangi",Fenilbutason
"Ramuan Madura Tebu Wulung, serbuk",-,"PJ. Mujur Jaya, Solo",Fenilbutason
"Rheumatik / Encok, serbuk",-,PJ. Muji Sehat,Fenilbutason
"Sehat Bugar 151, serbuk",TR. 993200451,"PJ. Payung Raga 151, Cilacap",Fenilbutason
"Sing Anyar Ramuan Madura, serbuk",-,"PJ. Anyar Sehat, Cilacap",Fenilbutason
"Tradisional Subur Sehat Asam Urat, Flu Tulang, Pegal Linu Paling Lama, serbuk",-,"PJ. Subur Sehat, Cilacap",Fenilbutason
Arma Sin Gang San Langsing Ayu,-,"Produksi Jawa Tengah, distributor PT.W di Jkt",Sildenafil Sitrat
"Jamu Kuat dan Tahan Lama Kuda Mas, kapsul",TR. 0243511472,"PJ. Makmur Abadi, Jatim",Sildenafil Sitrat
"Jamu Kuat Perkasa Spontan-On, kapsul",TR. 023435732,"PJ. Sinar Wahyu, Sumbar",Sildenafil Sitrat
"Jamu Pasihol Andalan Pria Perkasa, kapsul",TR. 003202301,PJ. Khasiat Makasar,Sildenafil Sitrat
"Jamu Sehat Pria Seki, Samiaji, kapsul",TR. 003202221,"Kopja Aneka Sari, Cilacap",Sildenafil Sitrat
"Obat Kuat Andalan Pria Dewasa Bali-Bali, kapsul",TR. 023541832,"PJ. Madura Sakti, Semarang",Sildenafil Sitrat
"Obat Kuat Andalan Pria Merk Bali-Bali, kapsul",TR. 2336457108,"PT. Jaya Makmur, Bandung",Sildenafil Sitrat
"Obat Kuat dan Tahan Lama Busur Perkasa, kapsul",TR. 893518901,"PJ. Bangun Sukses Perkasa, Denpasar",Sildenafil Sitrat
"Obat Kuat dan Tahan Lama Pegasus Kuda Terbang, kapsul",TR. 024341572,"PJ. Alam Sehat, Jabar",Sildenafil Sitrat
"Obat Kuat dan Tahan Lama X-Mas, (di hanger tertulis Klimax), kapsul",TR. 048277503,PJ. Great Herb. Indonesia,Sildenafil Sitrat
"Obat Kuat Pria Dewasa Pastigra, kapsul",TR. 042583361,Hema Care,Sildenafil Sitrat
"Obat Kuat Spider, kapsul",TR. 9935758412,"PJ. Sinar Makmur, Madura",Sildenafil Sitrat
"Obat Penambah Vitalitas Pria Scorpion, kapsul",TR. 202568335,"PJ. Sinar Makmur, Madura",Sildenafil Sitrat
"Penambah Vitalitas dan Gairah Sex Vi-Gra, kapsul",TR. 022341563,Hema Care,Sildenafil Sitrat
Tablet Cobra Laut,TR. 003200621,"PJ. Tawon Api Makassar Kopja Sabuk Kuning, Banyumas",Sildenafil Sitrat
"Tablet Pas-Tipas, Obat Kuat dan Tahan Lama",-,"PJ. Drs. Narpan, Cilacap",Sildenafil Sitrat
Jaya Sari Serbuk No. 7 / Sesak Napas,TR. 993203791,"PJ Jaya Sari, Cilacap","Antalgin, Teofilin, Kafein"
"Karomah Sehat, serbuk",TR. 993200891,"PJ. Serbuk Super / Subur Sejati, Cilacap","Fenilbutason, Kafein"
Super Partner Sapu Angin,-,"PJ. Aji Bagus Waras, Cilacap","Fenilbutason, Kafein"
"Ginseng Remujung Super Puteri Sari, serbuk",-,"PJ. Akar Maya M Subhi H. Ch, Banyumas","Fenilbutason, Parasetamol"
Pegal Linu Akar Tanjung,TR. 993202571,"PJ. Kopja Sabuk Kuning Unit I, Banyumas","Fenilbutason, Parasetamol, Piroksikam"
Pegal Linu Akar Tanjung,TR. 993202571,"PJ. Kopja Sabuk Kuning Unit I, Banyumas","Fenilbutason, Parasetamol, Piroksikam"
Sehat Segar Akar Tunggal Rumput Laut,-,"PJ. Akar Tunggal, Cilacap","Fenilbutason, Prednison"
"Sesak Nafas, serbuk",TR. 983292371,"PJ. Serbuk Super / Subur Sejati, Cilacap","Kafein, Teofilin"
"Darah Tinggi No. 6, serbuk",TR. 953277931,"PJ. Suharto Jaya Dipa, Bandung",Furosemid
Pelangsing Susut Perut 151 (3),-,"PJ. Serbuk Akar Rimba, Cilacap",Furosemid
Serbuk Manjur Langsingset,TR. 993298451,"PJ. Serbuk Manjur Jaya, Cilacap",Furosemid
"Tanggul Darah, serbuk",TR. 983292371,"PJ. Serbuk Super / Subur Sejati, Cilacap","Kafein, Teofilin"
Asma,-,"PJ. Raga Super, Cilacap",Parasetamol
Cap Lebah Sakti,-,"PJ. L. Sewu Jawa, Kopja Aneka Sari, Cilacap",Parasetamol
"Inti Mujarab Asam Urat, serbuk",-,"PJ. Inti Mujarab, Kopja Aneka Sari, Cilacap",Parasetamol
"Inti Mujarab, serbuk",-,"PJ. Inti Mujarab, Kopja Aneka Sari, Cilacap",Parasetamol
"Merlin Pelangsing Tubuh Natural, tablet",-,"PJ. Air Pusaka Kaligadung, Banyumas",Parasetamol
Rematik Purba Salam (Rematik/Sakit Pinggang),-,"PJ. Sabuk Kuning, Banyumas",Parasetamol
Rheumatik / Encok,-,"PJ. Raga Super, Cilacap",Parasetamol
"Rheumatik Dewa Manjur 99, serbuk",-,"PJ. Dewa Mega Jaya, Kopja Sabuk Kuning Unit IV, Banyumas",Parasetamol
Tablet Obat Kuat + Ragel Linu Lawang Sewu,-,"PJ. Drs Narpan Kopja Aneka Sari, Cilacap",Parasetamol
Gemuk Sehat Lawang Sewu,TR. 003200791,"PJ. Kopja Aneka Sari Unit III, Cilacap","Parasetamol, Piroksikam"
Gemuk Sehat Lawang Sewu,TR. 003200791,"PJ. Kopja Aneka Sari Unit III, Cilacap","Parasetamol, Piroksikam"
"Khusus Pria Perkasa, cairan",-,"Pondok Pesantren Yayasan Sunan Kalijogo, Pakuncen Patian Rowo, Nganjuk","Parasetamol, Piroksikam"
Pegal Linu Flu Tulang Mustika Ginseng,-,"Drs Narpan Kopja Aneka Sari, Cilacap",Piroksikam
"Tradisional Daun Ajaib, cairan",-,"UD. Daun Ajaib, Banyuwangi",Piroksikam
"Benrexy, kapsul",TR. 992398831,PT. Dua Putri Dewi Surabaya,Sildenafil Sitrat
"Asma No. 7, serbuk",TR. 953277921,"PJ. Suharto Jaya Dipa, Bandung",Teofilin
"Sesak Nafas No. 7, serbuk",TR. 993298351,"PJ. Serbuk Manjur Jaya, Cilacap",Teofilin
Sesak Napas & Batuk Purba Salam,-,"PJ. Sabuk Kuning, Banyumas",Teofilin
Sesak Napas Genta Jaya (7),-,"PJ. Sabuk Kuning, Banyumas",Teofilin
Akar Pinang,-,PJ. Langgeng Sehat,Antalgin
Pegal Linu Serbuk Berkhasiat,TR. 993204101,"PJ. Serbuk Berkhasiat, Cilacap",Antalgin
"Kuat Lelaki No. 5, serbuk",TR. 933268111,"PJ. Suharto Jaya Dipa, Bandung",Antalgin
Pegal Linu Cap Liur Walet,TR. 993202771,"PJ. Kopja Sabuk Kuning Unit II, Banyumas",Antalgin
Pegal Linu No. 2,TR. 993205441,"PJ. Serbuk Ratu, Cilacap",Antalgin
Pegal Linu Serbuk Berkhasiat,TR. 993204101,"PJ. Serbuk Berkhasiat, Cilacap",Antalgin
"Pegal Linu, cairan",-,"PJ Cap Sari Alam, Banyuwangi",Antalgin
Ramuan Rempah Jaya No. 1 (satu),-,"PJ. Rempah Jaya, Cilacap",Antalgin
Rheumatik / Encok Jaya,-,"PJ. Jaya Guna, Cilacap",Antalgin
Rheumatik No. 2,-,"PJ. Jaya Husada, Tuban",Antalgin
"Runrah, serbuk",TR. 983298111,"PJ. Candi Mas Purba Salma, Cilacap",Antalgin
Serbuk Bunga Tanjung,-,"PJ. Pamijahan, Cilacap",Antalgin
Serbuk Manjur Sehat Laki-laki,TR. 993298411,"PJ. Serbuk Manjur Jaya, Cilacap",Antalgin
Sir Angin Kaplet,TR. 001508721,"PJ. Serbuk Manjur Jaya, Cilacap",Antalgin
Super Rheumatik No. 2,-,"PJ. Ragil Sentosa, Cilacap",Antalgin
Serbuk Manjur Antik,TR. 993298371,"PJ. Serbuk Manjur Jaya, Cilacap","Antalgin, CTM, Fenilbutason"
Jarem (Encok),TR. 993299881,"PJ. Sari Alam, Cilacap","Antalgin, Deksametason, Fenilbutason"
Pegal Linu (Anti Rheumatik Cien Sen San),TR. 993200491,"PJ. Jaya Asli, Cilacap","Antalgin, Deksametason, Fenilbutason"
Akar Lawang Stamina Super Prima,-,"PJ. Prima Jaya, Banyumas","Antalgin, Fenilbutason"
Serbuk No. 2 (Rheumatik) / Ragel,TR. 9832292071,"PJ. Candi Mas Purba Salma, Cilacap","Antalgin, Fenilbutason"
"Ganggang Laut, serbuk",TR. 003007253,"PJ. Kopja Sabuk Kuning Unit IV, Banyumas","Antalgin, Fenilbutason"
Akar Lawang Stamina Super Prima,-,"PJ. Prima Jaya, Banyumas","Antalgin, Fenilbutason"
Tawon Api Tablet,-,"PJ. Tawon Api Makassar Kopja Sabuk Kuning, Banyumas","Antalgin, Fenilbutason"
"Ganggang Laut, serbuk",-,"PJ. Kopja Sabuk Kuning, Banyumas","Antalgin, Fenilbutason"
Serbuk Pegal Linu Akar Pribumi,TR. 993202891,"PJ. Akar Pribumi, Kopja Sabuk Kuning Unit III, Cilacap","Antalgin, Fenilbutason"
"Tawon Api, tablet",-,"PJ. Tawon Api Makasar, Kopja Sabuk Kuning, Banyumas","Antalgin, Fenilbutason"
Multiguna Serbuk / Nyeri Tulang,TR. 993203391,"PJ. Pakar Jaya, Cilacap","Antalgin, Fenilbutason, Parasetamol"
Multiguna Serbuk / Nyeri Tulang,TR. 993203391,"PJ. Pakar Jaya, Cilacap","Antalgin, Fenilbutason, Parasetamol"
Pegal Linu Plus Rempah Pribumi,TR. 003201591,"PJ. Inti Mujarab (Kopja Aneka Sari Unit VI), Cilacap","Antalgin, Fenilbutason, Parasetamol"
"Kitla, serbuk",TR. 983292091,"PJ. Candi Mas Purba Salma, Cilacap","Antalgin, Talbutamid, Klorpropamid"
"Sesak Napas, serbuk",TR. 983292121,"PJ. Candi Mas Purba Salma, Cilacap","Antalgin, Teofilin"
Pusaka Pil Gatal,-,"Kopja Aneka Sari, Cilacap",CTM
Ular Sakti Tablet Gatal,-,"PJ. Tawon Api, Kopja Sabuk Kuning, Banyumas",CTM
"Gajah Mada, serbuk",-,"PJ. Bintang Mahkota, Cirebon","CTM, Deksametason"
Kuat Pria serbuk (5),TR. 983292101,"PJ. Candi Mas Purba Salma, Cilacap","Antalgin, Fenilbutason, Kafein, Metiltestosteron"
Kuat Pria Serbuk (5),TR. 983292101,"PJ. Candi Mas Purba Salma, Cilacap","Antalgin, Fenilbutason, Kafein, Metiltestosteron"
Sehat Segar,TR. 993200901,"PJ. Prima Duta, Cilacap","Antalgin, Kafein"
Ramuan Tradisional Madura,-,"CV. Wahyu Illahi, Sumenep",Deksametason
Serbuk No. 1 (Gemuk),TR. 983292061,"PJ. Candi Mas Purba Salma, Cilacap",Deksametason
"Kesehatan Pegal Linu Al Qomar, cairan dan tablet",-,"Pondok Pesantren Yayasan Sunan Kalijogo, Pakuncen Patian Rowo, Nganjuk","Deksametason, BIC Natric, Piroksikam"
"Pay Na Ran, serbuk",TR. 99329981,"PJ. Sinar Laba-laba, Cilacap","Deksametason, Fenilbutason"
"Anti Loyo Al Qomar, cairan dan tablet",-,"Pondok Pesantren Yayasan Sunan Kalijogo, Pakuncen Patian Rowo, Nganjuk","Deksametason, Fenilbutason, Gliseril Guayakolat"
Sehat Segar,TR. 993200901,"PJ. Prima Duta, Cilacap","Antalgin, Kafein"
"Amrat, serbuk",TR. 993299221,"PJ. Serbuk Super / Subur Sejati, Cilacap","Antalgin, Kafein, Fenilbutason"
Sehat Badan Mega Cemerlang,TR. 013211091,"CV. Mega Cemerlang, Karawang","Deksametason, Parasetamol"
Sehat Badan Mega Cemerlang,TR. 013211091,"CV. Mega Cemerlang, Karawang","Deksametason, Parasetamol"
"Penenang No. 11, serbuk",TR. 933268091,"PJ. Suharto Jaya Dipa, Bandung",Diazepam
Jaya Sari Serbuk No. 7 / Sesak Napas,TR. 993203791,"PJ. Jaya Sari, Cilacap","Antalgin, Teofilin, Kafein"
"Arma Sin Gang San, serbuk",TR. 993229531,"PJ. Berkas SS, Cilacap",Fenilbutason
Arma Sin Gang San,-,"PJ. Berkah SS, Cilacap",Fenilbutason
Mande Raga Kembar Hormon No. 5,-,"PJ. Mande Raga Putri Kembar, Cilacap",Fenilbutason
Pegal Linu Langgeng,TR. 993205321,"PJ. Langgeng Sentosa, Cilacap",Fenilbutason
Pegal Linu Serbuk Pusaka Jaya,TR. 993299581,"PJ. Pusaka Jaya, Cilacap",Fenilbutason
"Penyegar Badan (Shin She), kapsul",TR. 993396971,"PT Kingsindo Farmatama, Jakarta",Fenilbutason
Serbuk Manjur Sehat Perempuan,TR. 993200871,"PJ. Serbuk Manjur Jaya, Cilacap",Fenilbutason
Serbuk No. 3 (Pelangsing),TR. 983292081,"PJ. Candi Mas Purba Salma, Cilacap",Fenilbutason
