Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
One Night Love tablet,-,,Sildenafil and Siprofloksasin
Dragon 'Wolverine' tablets,-,,Sildenafil dan kloramfenikol
Big Penis,-,-,Sildenafil Sitrat
Black Gorilla,-,Hongkong Jingongfu Biotecnology,Sildenafil Sitrat
Black Panther,-,CV. Minak Jinggo,Sildenafil Sitrat
Buaya Jantan,TR 003 404 242,PJ. Herbalindo Jaya Indonesia,Sildenafil Sitrat
K.L.G Pills,-,"Biological Science and Technology Co.,Ltd.Polo.USA",Sildenafil Sitrat
Kuat Lelaki Genotan,TR 053 651 371,UD. Sido Mulyo,Sildenafil Sitrat
One Night Love,-,-,Sildenafil Sitrat
Paloma,TR 202 339 991,"PT. Akar Pinang Indonesia, Kuningan",Sildenafil Sitrat
Singa Super On,TR 063 660 321,"UD Dua Singa, Banyuwangi",Sildenafil Sitrat
Super Storm Vitam SS Health Supplement,-,,Sildenafil Sitrat
Urat Seribu,TR 110 826 00024,PJ. Herbalindo Jakarta,Sildenafil Sitrat
Parsi,TR 183 321 971,"PT. Akar Pinang Indonesia, Kuningan","Sildenafil Sitrat, Tadalafil"
2 Own The Knight Silver 4000,-,,"Sildenafil, Tadalafil"
Adam,-,,"Sildenafil, Tadalafil"
Adam,-,,"Sildenafil, Tadalafil"
Alpha-Male,-,,"Sildenafil, Tadalafil"
Balance X,-,,"Sildenafil, Tadalafil"
"Beast Natural Formula 41,000 MG capsules",-,,"Sildenafil, Tadalafil"
Big Rhino Diamond 100000,-,,"Sildenafil, Tadalafil"
Black Panther Extreme 25000,-,,"Sildenafil, Tadalafil"
Black Panther Extreme 25000,-,,"Sildenafil, Tadalafil"
Burro en Primavera 60000 Dietary Supplements,-,NS NY Distribution Inc.,"Sildenafil, Tadalafil"
Dragon 69 12000,-,,"Sildenafil, Tadalafil"
Elephant 9000,-,,"Sildenafil, Tadalafil"
Force G Men,-,,"Sildenafil, Tadalafil"
Furious X 1350,-,,"Sildenafil, Tadalafil"
Ginseng Power 5000,-,,"Sildenafil, Tadalafil"
H.R.D Tablets,-,,"Sildenafil, Tadalafil"
Herbal Blue,-,,"Sildenafil, Tadalafil"
Imperial Gold 2000 Dietary Supplements,-,,"Sildenafil, Tadalafil"
Imperial Platinum 2000 Dietary Supplements,-,,"Sildenafil, Tadalafil"
Infinity 10K capsules,-,,"Sildenafil, Tadalafil"
Kangaroo 2019 Mega 3000 tablets,-,,"Sildenafil, Tadalafil"
Libigrow 130K Platinum,-,,"Sildenafil, Tadalafil"
MaxxZEN Platinum 12000,-,,"Sildenafil, Tadalafil"
Poseidon Platinum,-,,"Sildenafil, Tadalafil"
Posseidon 3500,-,,"Sildenafil, Tadalafil"
PremierZEN Gold 7000,-,,"Sildenafil, Tadalafil"
PremierZEN Platinum 8000,-,,"Sildenafil, Tadalafil"
Premium OrgaZen 7000 Dietary Supplements,-,,"Sildenafil, Tadalafil"
Racing Bull 150K,-,,"Sildenafil, Tadalafil"
Rhino 7 platinum 25K,-,,"Sildenafil, Tadalafil"
Rhino Magnum XXL 100K,-,,"Sildenafil, Tadalafil"
Rhino SE7EN2,-,,"Sildenafil, Tadalafil"
Shiva gold,-,,"Sildenafil, Tadalafil"
Stiff Rox,-,,"Sildenafil, Tadalafil"
Titanium 18K,-,,"Sildenafil, Tadalafil"
Ultimate 3500,-,,"Sildenafil, Tadalafil"
XXX Platinum WOODIE,-,,"Sildenafil, Tadalafil"
Yin-Yang Essence Men Power,-,,"Sildenafil, Tadalafil"
Wild Bull Gold Extreme,-,,"Sildenafil, Tadalafil, Testosteron Propionate"
Lollipop,-,,"Sildenafil, Tadalafil, Yohimbin"
Rhino 7 Platinum 5000,-,,"Sildenafil, Yohimbin"
Ultra Hurricane X,-,,"Sildenafil, Yohimbin"
PS 21 Capsule / MAL15120007TC,-,"Ferno Industries Sdn. Bhd., Malaysia",Simvastatin
Ginseng Kianpi Pil,TI 094 408 235,"Greenherb Medical (M)SD BHD 22-26 Sarawak, Malaysia Importir: PT Sehat Anugrah Batam",Siproheptadin Hidroklorida
Ginseng Kianpi Pill,-,"Hongkong Wisdom Medical Factory II W, Hong Kong",Siproheptadin Hidroklorida
Tabib Guna Gemuk Sehat Sempurna,TR 003 921 411,PJ. Tunggal Wulung Jateng (Tidak terdaftar),Siproheptadin Hidroklorida
Active Male Capsule,-,,Tadalafil
Adam,-,,Tadalafil
Alpha Male Plus,-,,Tadalafil
Atomic 41000 mg,-,,Tadalafil
Black Mamba Premium 18000,-,,Tadalafil
Burro Power 300 K,-,,Tadalafil
Eruption 35000 mg,-,,Tadalafil
Harmony Sexual Enhancement,-,MFH International Enterprise (Canada) Inc.,Tadalafil
He Absolute King sachets,-,,Tadalafil
Jaguar 3000,-,,Tadalafil
Lucky Lady,-,,Tadalafil
Mojo Black Capsules,-,,Tadalafil
PremierZEN Black 5000 Dietary Supplements,-,,Tadalafil
